time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-10T17:20:31.670Z,33.2676667,-115.6883333,3.75,1.76,ml,52,57,0.09237,0.2,ci,ci37452741,2020-08-14T19:47:11.220Z,"10km SSE of Bombay Beach, CA",earthquake,0.17,0.28,0.185,22,reviewed,ci,ci
2020-08-10T17:20:44.600Z,33.2618333,-115.6795,2.37,1.83,ml,64,40,0.08599,0.21,ci,ci39338751,2020-08-14T18:53:48.147Z,"11km SSE of Bombay Beach, CA",earthquake,0.15,0.3,0.143,26,reviewed,ci,ci
2020-08-10T17:21:42.660Z,33.2711667,-115.6863333,2.59,1.64,ml,26,63,0.09024,0.19,ci,ci37452085,2020-08-14T18:55:09.156Z,"10km SSE of Bombay Beach, CA",earthquake,0.26,0.46,0.143,35,reviewed,ci,ci
2020-08-10T17:22:20.840Z,33.2683333,-115.6873333,2.66,2.82,ml,96,37,0.09146,0.23,ci,ci39338767,2020-10-21T22:04:05.040Z,"10km SSE of Bombay Beach, CA",earthquake,0.13,0.28,0.177,24,reviewed,ci,ci
2020-08-10T17:23:42.440Z,33.264,-115.6881667,2.95,2.34,ml,73,38,0.09275,0.16,ci,ci39338775,2020-08-11T17:01:51.584Z,"10km SSE of Bombay Beach, CA",earthquake,0.1,0.22,0.152,29,reviewed,ci,ci
2020-08-10T17:24:24.020Z,33.2303333,-115.6825,4.23,1.6,ml,34,73,0.06885,0.2,ci,ci37452205,2020-08-11T17:38:03.312Z,"14km SSE of Bombay Beach, CA",earthquake,0.32,1.08,0.081,9,reviewed,ci,ci
2020-08-10T17:26:27.950Z,33.254,-115.6883333,2.71,1.79,ml,56,48,0.08964,0.17,ci,ci39338783,2020-08-14T19:57:06.140Z,"12km SSE of Bombay Beach, CA",earthquake,0.17,0.28,0.238,24,reviewed,ci,ci
2020-08-10T17:26:56.080Z,33.2726667,-115.6871667,2.53,1.75,ml,46,57,0.08859,0.22,ci,ci37452749,2020-08-14T20:17:25.657Z,"10km SSE of Bombay Beach, CA",earthquake,0.21,0.37,0.204,12,reviewed,ci,ci
2020-08-10T17:27:51.100Z,33.2581667,-115.6888333,2.09,1.45,ml,52,63,0.0932,0.17,ci,ci39338791,2020-08-14T20:32:19.460Z,"11km SSE of Bombay Beach, CA",earthquake,0.19,0.33,0.214,29,reviewed,ci,ci
2020-08-10T17:33:50.460Z,33.2556667,-115.6896667,2.55,2.09,ml,62,40,0.09163,0.19,ci,ci39338807,2020-08-11T17:55:49.440Z,"11km SSE of Bombay Beach, CA",earthquake,0.13,0.26,0.155,22,reviewed,ci,ci
2020-08-10T17:35:26.940Z,33.27,-115.6665,2.91,2.05,ml,55,44,0.07393,0.16,ci,ci37452221,2020-08-11T18:54:09.106Z,"11km SE of Bombay Beach, CA",earthquake,0.14,0.29,0.172,9,reviewed,ci,ci
2020-08-10T17:35:32.350Z,33.2703333,-115.6673333,2.71,2.19,ml,65,40,0.07458,0.19,ci,ci39338815,2020-08-11T18:25:34.140Z,"11km SE of Bombay Beach, CA",earthquake,0.14,0.3,0.151,19,reviewed,ci,ci
2020-08-10T17:38:15.730Z,33.2621667,-115.702,1.57,1.66,ml,37,52,0.09393,0.22,ci,ci39338823,2020-08-12T18:50:52.525Z,"10km SSE of Bombay Beach, CA",earthquake,0.23,0.54,0.158,60,reviewed,ci,ci
2020-08-10T17:39:15.940Z,33.227,-115.6991667,3.26,3.51,mw,119,40,0.07771,0.24,ci,ci39338839,2020-10-21T22:04:05.040Z,"14km SSE of Bombay Beach, CA",earthquake,0.12,0.31,,4,reviewed,ci,ci
2020-08-10T17:42:28.820Z,33.2636667,-115.6726667,5.24,2.09,ml,22,65,0.08002,0.29,ci,ci39338847,2020-08-11T01:48:11.518Z,"11km SSE of Bombay Beach, CA",earthquake,0.4,1.15,0.06,2,reviewed,ci,ci
2020-08-10T17:42:37.850Z,33.2538333,-115.6995,0.1,1.45,ml,19,61,0.09555,0.3,ci,ci37452093,2020-09-03T20:21:44.368Z,"11km SSE of Bombay Beach, CA",earthquake,0.47,1.12,0.075,4,reviewed,ci,ci
2020-08-10T17:42:44.470Z,33.248,-115.6836667,2.8,1.38,ml,17,70,0.08251,0.19,ci,ci37454301,2020-09-03T20:12:03.567Z,"12km SSE of Bombay Beach, CA",earthquake,0.5,0.63,0.051,5,reviewed,ci,ci
2020-08-10T17:43:00.710Z,33.2378333,-115.6625,0.08,1.24,ml,17,57,0.07188,0.29,ci,ci37454309,2020-09-03T20:36:14.890Z,"13km W of Niland, CA",earthquake,0.39,1.07,0.19,6,reviewed,ci,ci
2020-08-10T17:46:10.510Z,33.2678333,-115.685,3.05,2.75,ml,86,37,0.08958,0.19,ci,ci39338855,2020-10-21T22:04:05.040Z,"10km SSE of Bombay Beach, CA",earthquake,0.12,0.23,0.155,28,reviewed,ci,ci
2020-08-10T17:49:07.900Z,33.2693333,-115.6868333,3.15,1.69,ml,48,58,0.09093,0.19,ci,ci39338871,2020-09-03T20:54:04.544Z,"10km SSE of Bombay Beach, CA",earthquake,0.17,0.35,0.179,13,reviewed,ci,ci
2020-08-10T17:49:09.960Z,33.2915,-115.6353333,17.05,1.93,ml,40,82,0.04894,0.43,ci,ci37454325,2020-09-03T21:31:40.085Z,"11km SE of Bombay Beach, CA",earthquake,0.45,0.87,0.091,17,reviewed,ci,ci
2020-08-10T17:49:33.720Z,33.2663333,-115.6836667,7.48,1.46,ml,24,61,0.08867,0.25,ci,ci37454333,2020-09-03T21:49:55.025Z,"10km SSE of Bombay Beach, CA",earthquake,0.39,0.94,0.126,7,reviewed,ci,ci
2020-08-10T17:49:59.770Z,33.2485,-115.7045,0.07,1.47,ml,16,63,0.0947,0.26,ci,ci37454341,2020-09-04T14:35:08.537Z,"12km SSE of Bombay Beach, CA",earthquake,0.33,0.88,0.14,4,reviewed,ci,ci
2020-08-10T17:53:24.590Z,33.2701667,-115.6833333,3.86,1.53,ml,41,59,0.08793,0.19,ci,ci37452757,2020-08-14T20:59:07.654Z,"10km SSE of Bombay Beach, CA",earthquake,0.16,0.39,0.156,14,reviewed,ci,ci
2020-08-10T17:54:55.460Z,33.2686667,-115.6933333,5.04,0.9,ml,23,71,0.09015,0.27,ci,ci37452765,2020-08-14T21:31:23.188Z,"10km SSE of Bombay Beach, CA",earthquake,0.59,1.68,0.218,6,reviewed,ci,ci
2020-08-10T17:55:08.200Z,33.241,-115.6875,3.12,1.51,ml,53,44,0.07933,0.19,ci,ci39338887,2020-08-14T21:31:55.590Z,"13km SSE of Bombay Beach, CA",earthquake,0.13,0.28,0.254,25,reviewed,ci,ci
2020-08-10T17:57:39.890Z,33.2675,-115.6811667,6.29,1.23,ml,42,56,0.08643,0.2,ci,ci39338911,2020-08-14T22:13:34.183Z,"10km SSE of Bombay Beach, CA",earthquake,0.2,0.84,0.138,24,reviewed,ci,ci
2020-08-10T17:57:49.520Z,33.2761667,-115.6926667,1.4,1.22,ml,36,61,0.08348,0.25,ci,ci37452773,2020-08-14T22:32:02.253Z,"9km SSE of Bombay Beach, CA",earthquake,0.26,0.52,0.108,15,reviewed,ci,ci
2020-08-10T18:00:59.360Z,33.2341667,-115.6881667,3.79,1.51,ml,56,45,0.07493,0.21,ci,ci39338935,2020-08-14T22:59:22.630Z,"14km SSE of Bombay Beach, CA",earthquake,0.16,0.37,0.168,30,reviewed,ci,ci
2020-08-10T18:19:05.560Z,33.23,-115.7,3.3,2,ml,53,58,0.07999,0.22,ci,ci39338999,2020-08-18T15:18:14.050Z,"14km SSE of Bombay Beach, CA",earthquake,0.17,0.39,0.13,20,reviewed,ci,ci
2020-08-10T18:28:32.570Z,33.271,-115.6768333,3.7,1.6,ml,31,67,0.08243,0.19,ci,ci39339023,2020-08-13T21:10:09.034Z,"10km SSE of Bombay Beach, CA",earthquake,0.22,0.47,0.162,31,reviewed,ci,ci
2020-08-10T18:29:59.890Z,33.228,-115.6955,2.85,3.06,ml,89,40,0.07577,0.22,ci,ci39339015,2020-10-21T22:04:05.040Z,"14km SSE of Bombay Beach, CA",earthquake,0.15,0.34,0.141,16,reviewed,ci,ci
2020-08-10T18:30:05.830Z,33.2298333,-115.6925,3.67,3.49,ml,57,41,0.07488,0.29,ci,ci37452101,2020-10-21T22:04:06.040Z,"14km SSE of Bombay Beach, CA",earthquake,0.26,0.59,0.162,279,reviewed,ci,ci
2020-08-10T18:35:11.050Z,33.2515,-115.6871667,2.76,1.58,ml,41,66,0.08707,0.19,ci,ci39339031,2020-09-03T22:56:17.670Z,"12km SSE of Bombay Beach, CA",earthquake,0.22,0.37,0.17,30,reviewed,ci,ci
2020-08-10T18:35:26.930Z,33.2428333,-115.6648333,8.25,1.56,ml,39,79,0.06929,0.29,ci,ci37454365,2020-09-04T14:10:02.343Z,"14km SSE of Bombay Beach, CA",earthquake,0.39,1.04,0.152,10,reviewed,ci,ci
2020-08-10T18:44:23.730Z,33.2963333,-115.6298333,15,1.24,ml,17,113,0.04611,0.18,ci,ci37454381,2020-09-04T15:49:05.368Z,"11km ESE of Bombay Beach, CA",earthquake,0.42,0.44,0.393,4,reviewed,ci,ci
2020-08-10T18:45:02.280Z,33.2088333,-115.6743333,12.99,1.14,ml,18,81,0.05041,0.25,ci,ci37454389,2020-09-04T15:54:44.414Z,"15km WSW of Niland, CA",earthquake,0.49,1.08,0.231,4,reviewed,ci,ci
2020-08-10T18:46:51.440Z,33.2696667,-115.6783333,2.28,2.24,ml,65,37,0.08382,0.19,ci,ci39339047,2020-08-11T19:49:13.090Z,"10km SSE of Bombay Beach, CA",earthquake,0.12,0.24,0.147,24,reviewed,ci,ci
2020-08-10T18:47:03.910Z,33.2661667,-115.6811667,2.68,2.16,ml,44,67,0.08662,0.2,ci,ci37452237,2020-08-11T20:11:04.794Z,"10km SSE of Bombay Beach, CA",earthquake,0.21,0.32,0.112,9,reviewed,ci,ci
2020-08-10T18:47:48.690Z,33.2403333,-115.6823333,3.7,1.62,ml,17,72,0.07593,0.28,ci,ci37452365,2020-08-12T17:27:05.423Z,"13km SSE of Bombay Beach, CA",earthquake,0.64,1.06,0.174,8,reviewed,ci,ci
2020-08-10T18:47:56.970Z,33.2431667,-115.6865,3.91,1.89,ml,16,69,0.08036,0.29,ci,ci37452141,2020-08-12T16:50:26.898Z,"13km SSE of Bombay Beach, CA",earthquake,0.52,0.99,0.206,5,reviewed,ci,ci
2020-08-10T18:48:20.710Z,33.2645,-115.7008333,2.23,1.75,ml,30,59,0.09198,0.22,ci,ci39339055,2020-08-10T23:27:15.614Z,"10km SSE of Bombay Beach, CA",earthquake,0.28,0.54,0.124,16,reviewed,ci,ci
2020-08-10T18:50:44.100Z,33.2731667,-115.6811667,2.25,2.12,ml,67,46,0.08587,0.19,ci,ci39339071,2020-08-11T20:31:00.940Z,"10km SSE of Bombay Beach, CA",earthquake,0.12,0.24,0.16,27,reviewed,ci,ci
2020-08-10T18:53:21.450Z,33.2653333,-115.6896667,4.42,3.21,ml,108,37,0.09378,0.24,ci,ci39339079,2020-10-21T22:04:05.040Z,"10km SSE of Bombay Beach, CA",earthquake,0.15,0.53,0.135,36,reviewed,ci,ci
2020-08-10T18:58:31.400Z,33.2573333,-115.6875,3.86,1.46,ml,34,64,0.09186,0.21,ci,ci39339087,2020-09-04T16:12:25.029Z,"11km SSE of Bombay Beach, CA",earthquake,0.25,0.52,0.199,24,reviewed,ci,ci
2020-08-10T18:58:53.030Z,33.2513333,-115.6755,3.02,3.24,ml,101,37,0.08121,0.21,ci,ci39339095,2020-10-21T22:04:05.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.12,0.22,0.173,212,reviewed,ci,ci
2020-08-10T19:02:09.710Z,33.2631667,-115.6923333,2.07,1.53,ml,26,62,0.09557,0.22,ci,ci39339119,2020-08-11T02:15:40.625Z,"10km SSE of Bombay Beach, CA",earthquake,0.28,0.53,0.06,9,reviewed,ci,ci
