time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource                                                                                                   
2009-03-25T00:33:37.680Z,33.3055,-115.7231667,4.803,2.06,ml,50,34,0.04775,0.23,ci,ci14434328,2016-03-08T21:27:35.446Z,"5km S of Bombay Beach, CA",earthquake,0.3,0.55,0.113,71,reviewed,ci,ci                                                                     
2009-03-25T00:30:22.210Z,33.3041667,-115.7253333,4.243,2.72,ml,68,34,0.04878,0.24,ci,ci14434320,2016-03-09T01:46:37.079Z,"5km S of Bombay Beach, CA",earthquake,0.27,0.49,0.136,117,reviewed,ci,ci                                                                
2009-03-25T00:05:05.840Z,33.3248333,-115.7151667,5.303,1.46,ml,30,46,0.03158,0.28,ci,ci14434312,2016-03-08T21:27:33.861Z,"3km SSE of Bombay Beach, CA",earthquake,0.33,0.52,0.11,32,reviewed,ci,ci                                                                
2009-03-24T23:51:11.830Z,33.2891667,-115.6768333,4.853,1.47,ml,19,53,0.07897,0.19,ci,ci14434296,2016-03-09T00:20:58.929Z,"9km SE of Bombay Beach, CA",earthquake,0.49,0.65,0.185,34,reviewed,ci,ci                                                                
2009-03-24T23:43:15.160Z,33.3068333,-115.7438333,5.013,3.13,ml,75,31,0.04652,0.25,ci,ci14434264,2016-03-09T01:46:35.295Z,"5km SSW of Bombay Beach, CA",earthquake,0.24,0.49,0.138,204,reviewed,ci,ci                                                              
2009-03-24T23:41:51.540Z,33.3153333,-115.6906667,2.694,1,mh,5,218,0.05151,0.05,ci,ci14434272,2016-03-09T15:11:47.510Z,"6km SE of Bombay Beach, CA",earthquake,1.23,31.61,,0,reviewed,ci,ci                                                                        
2009-03-24T23:08:02.340Z,33.3078333,-115.6908333,3.885,1.3,ml,14,84,0.05706,0.26,ci,ci14434248,2016-03-09T00:20:57.542Z,"6km SE of Bombay Beach, CA",earthquake,0.83,1.23,0.106,22,reviewed,ci,ci                                                                 
2009-03-24T22:54:02.340Z,33.327,-115.7333333,2.813,1.2,ml,6,161,0.02555,0.16,ci,ci14434216,2016-03-08T22:55:33.930Z,"3km S of Bombay Beach, CA",earthquake,0.66,0.87,0.417,4,reviewed,ci,ci                                                                       
2009-03-24T22:28:43.950Z,33.3246667,-115.7166667,7.431,0.9,ml,10,115,0.03114,0.14,ci,ci14434200,2016-03-09T04:34:51.871Z,"3km SSE of Bombay Beach, CA",earthquake,0.93,1.61,0.176,15,reviewed,ci,ci                                                               
2009-03-24T22:04:52.610Z,33.3041667,-115.714,4.413,1.51,ml,28,39,0.05094,0.21,ci,ci14434192,2016-03-08T19:47:54.720Z,"5km SSE of Bombay Beach, CA",earthquake,0.38,0.56,0.117,33,reviewed,ci,ci                                                                   
2009-03-24T21:28:09.710Z,33.3075,-115.7441667,4.733,2.09,ml,52,31,0.04592,0.23,ci,ci14434184,2016-03-09T00:20:56.214Z,"5km SSW of Bombay Beach, CA",earthquake,0.27,0.47,0.138,99,reviewed,ci,ci                                                                  
2009-03-24T21:26:56.630Z,33.3226667,-115.7206667,6.493,1.12,ml,14,71,0.03168,0.19,ci,ci14434176,2016-03-09T06:00:10.992Z,"3km SSE of Bombay Beach, CA",earthquake,0.53,1.41,0.181,14,reviewed,ci,ci                                                               
